zone,zone_latitude,zone_longitude,nearest_station,station_latitude,station_longitude,distance_km,o3,o3_units,no2,no2_units,co,co_units,pm10,pm10_units,pm25,pm25_units,so2,so2_units
Hadapsar,18.5089,73.926,"Hadapsar, Pune - IITM",18.501793,73.927532,0.81,23.65,µg/m³,14.73,ppb,0.76,ppb,39.61,µg/m³,23.78,µg/m³,,
Kharadi,18.5514,73.938,"Mhada Colony, Pune - IITM",18.57304,73.927715,2.64,10.0,µg/m³,27.59,ppb,1.21,ppb,64.94,µg/m³,24.21,µg/m³,,
Yerwada,18.553,73.879,"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598,4.01,4.0,µg/m³,14.24,ppb,1.59,ppb,54.89,µg/m³,17.11,µg/m³,11.01,ppb
Shivajinagar,18.5308,73.847,"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598,0.29,4.0,µg/m³,14.24,ppb,1.59,ppb,54.89,µg/m³,17.11,µg/m³,11.01,ppb
Aundh,18.559,73.807,"Savitribai Phule Pune University, Pune - MPCB",18.547056,73.826908,2.48,8.09,µg/m³,7.31,ppb,0.61,ppb,37.15,µg/m³,7.46,µg/m³,3.51,ppb
Baner,18.559,73.7868,"Panchawati_Pashan, Pune - IITM",18.536457,73.805454,3.19,1.0,µg/m³,7.72,ppb,0.83,ppb,44.03,µg/m³,14.05,µg/m³,,
Kothrud,18.5074,73.8077,"Karve Road Pune, Pune - MPCB",18.5011743,73.8165527,1.16,80.0,µg/m³,8.33,ppb,2.0,ppb,78.39,µg/m³,100.0,µg/m³,33.33,ppb
Wagholi,18.5793,73.983,"Mhada Colony, Pune - IITM",18.57304,73.927715,5.87,10.0,µg/m³,27.59,ppb,1.21,ppb,64.94,µg/m³,24.21,µg/m³,,
Viman Nagar,18.5679,73.9143,"Mhada Colony, Pune - IITM",18.57304,73.927715,1.53,10.0,µg/m³,27.59,ppb,1.21,ppb,64.94,µg/m³,24.21,µg/m³,,
Katraj,18.4529,73.858,"Katraj Dairy, Pune - MPCB",18.45445,73.854155,0.44,9.9,µg/m³,7.9,ppb,0.76,ppb,39.85,µg/m³,13.55,µg/m³,2.21,ppb
Kondhwa,18.4696,73.8895,"Dhankawadi, Pune - IITM",18.459883,73.852193,4.08,9.0,µg/m³,11.3,ppb,1.15,ppb,53.59,µg/m³,15.56,µg/m³,,
Pimpri,18.6298,73.7997,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",18.614767,73.799516,1.67,1.0,µg/m³,24.22,ppb,0.32,ppb,34.63,µg/m³,17.12,µg/m³,,
Chinchwad,18.627,73.781,"Thergaon, Pimpri Chinchwad - MPCB",18.616318,73.765797,1.99,6.65,µg/m³,8.66,ppb,0.39,ppb,52.13,µg/m³,5.15,µg/m³,1.03,ppb
Warje,18.4875,73.7937,AAQMS Karve Road Pune,18.497484,73.81349,2.36,15.76,µg/m³,,,1220.0,µg/m³,165.0,µg/m³,66.0,µg/m³,22.85,µg/m³
Pashan,18.5426,73.7955,"Panchawati_Pashan, Pune - IITM",18.536457,73.805454,1.25,1.0,µg/m³,7.72,ppb,0.83,ppb,44.03,µg/m³,14.05,µg/m³,,
